dataset,route,dropped,n,n_noise,auc,full_auc,delta
truncation,iforest,grad_norm_mean,14611,1461,0.5687432692332717,0.5726686497867235,-0.003925380553451818
truncation,rf,grad_norm_last,14611,1461,0.7869957813154695,0.7866108426178224,0.0003849386976471081
truncation,iforest,grad_norm_last,14611,1461,0.5662735300317767,0.5726686497867235,-0.006395119754946776
truncation,rf,grad_norm_std,14611,1461,0.786161725782903,0.7866108426178224,-0.00044911683491943855
truncation,iforest,grad_norm_std,14611,1461,0.5578572934315004,0.5726686497867235,-0.014811356355223126
truncation,rf,grad_norm_slope,14611,1461,0.784594696585234,0.7866108426178224,-0.002016146032588484
truncation,iforest,grad_norm_slope,14611,1461,0.5597988252225805,0.5726686497867235,-0.012869824564142984
truncation,rf,cos_ref_mean,14611,1461,0.7854176393584268,0.7866108426178224,-0.0011932032593956476
truncation,iforest,cos_ref_mean,14611,1461,0.5651008866784821,0.5726686497867235,-0.0075677631082413654
truncation,rf,cos_ref_last,14611,1461,0.7846661357526358,0.7866108426178224,-0.0019447068651866628
truncation,iforest,cos_ref_last,14611,1461,0.5589971450358238,0.5726686497867235,-0.013671504750899732
truncation,rf,cos_ref_std,14611,1461,0.785908890988255,0.7866108426178224,-0.0007019516295674322
truncation,iforest,cos_ref_std,14611,1461,0.5654598262037305,0.5726686497867235,-0.007208823582993018
truncation,rf,cos_ref_slope,14611,1461,0.7869711354533458,0.7866108426178224,0.0003602928355234125
truncation,iforest,cos_ref_slope,14611,1461,0.5625857595323793,0.5726686497867235,-0.010082890254344168
truncation,rf,grad_norm_cv,14611,1461,0.7867959338231275,0.7866108426178224,0.00018509120530507683
truncation,iforest,grad_norm_cv,14611,1461,0.5642576182259664,0.5726686497867235,-0.008411031560757065
truncation,rf,update_contrib_mean,14611,1461,0.7852219819228976,0.7866108426178224,-0.0013888606949248317
truncation,iforest,update_contrib_mean,14611,1461,0.5669178618738664,0.5726686497867235,-0.005750787912857103
unrelated,rf,(none),14611,1461,0.9436495134589308,0.9436495134589308,0.0
unrelated,iforest,(none),14611,1461,0.6391792173182076,0.6391792173182076,0.0
unrelated,rf,text_nn_sim,14611,1461,0.8588978589069938,0.9436495134589308,-0.084751654551937
