dataset,feature,importance,importance_std,n,n_noise,rank
truncation,max_token_loss,0.0030859810131843675,0.010989409469398179,905,86,13
truncation,hard_pos_jaccard,0.0030161508715412003,0.006307678440445847,905,86,14
truncation,token_loss_kurt,0.0029970273809558747,0.007293020254313468,905,86,15
truncation,grad_norm_mean,0.002896310901037564,0.004958370898978071,905,86,16
truncation,cos_global_last,0.002721236157688176,0.00903380666248815,905,86,17
truncation,loss_last,0.002708886512358448,0.003290695337173202,905,86,18
truncation,loss_mean,0.002677165209941534,0.008341935672119683,905,86,19
truncation,grad_norm_cv,0.002133151230465741,0.008321780549623051,905,86,20
truncation,loss_rank,0.0019453124159534443,0.007175128611421613,905,86,21
truncation,loss_min,0.0017230432499200465,0.0048915410065440415,905,86,22
truncation,cos_global_mean,0.001598412321185645,0.007587892787013374,905,86,23
truncation,converge_epoch,0.0007098429925114857,0.0022285259483764475,905,86,24
truncation,cos_global_slope,0.0005723171856402753,0.0036650353089926558,905,86,25
truncation,grad_norm_last,-0.00010869326033570515,0.006532587516626512,905,86,26
truncation,cos_ref_mean,-0.000997949631246574,0.005217551197596134,905,86,27
truncation,cos_ref_last,-0.001177671078406909,0.0036277031418745502,905,86,28
truncation,hard_loss_mean,-0.0020081792256031452,0.009285510516160413,905,86,29
truncation,grad_norm_std,-0.002404993794614955,0.00938905461883086,905,86,30
truncation,cos_ref_std,-0.0027575674890635525,0.003816036096084776,905,86,31
truncation,text_nn_sim,-0.002886726539585858,0.004451307306847101,905,86,32
truncation,cos_global_std,-0.0031661497957455194,0.005271123404894001,905,86,33
truncation,cos_ref_slope,-0.0033398993544247963,0.0073221558521986965,905,86,34
truncation,user_loss,-0.003498051098338488,0.0038395846011992723,905,86,35
truncation,update_contrib_mean,-0.0060557039664586405,0.006403977433558699,905,86,36
unrelated,text_nn_sim,0.08417208720986523,0.02830038967510017,904,85,1
unrelated,loss_slope,0.010242318085396641,0.0052067875187289,904,85,2
unrelated,loss_std,0.00996027013229351,0.0034550164657827496,904,85,3
unrelated,token_loss_skew,0.00937026344280043,0.0030797335902191104,904,85,4
unrelated,hard_loss_max,0.007764532043552101,0.005244623387099801,904,85,5
unrelated,frac_hard,0.00740653413841968,0.0031375647073096456,904,85,6
unrelated,loss_curvature,0.006497984350106928,0.0021717593429279535,904,85,7
unrelated,loss_mean,0.006299984156463716,0.006628080172306073,904,85,8
unrelated,token_loss_kurt,0.00609186170353221,0.002274630557556168,904,85,9
unrelated,grad_norm_cv,0.005620109408419951,0.007601728324502177,904,85,10
unrelated,max_token_loss,0.004889062238691673,0.0041977148938437,904,85,11
unrelated,update_contrib_mean,0.0039289439402874545,0.00411616703874288,904,85,12
unrelated,converge_epoch,0.002693016081189304,0.0038122066460798847,904,85,13
unrelated,grad_norm_mean,0.0026225343496668295,0.0026308279120071123,904,85,14
unrelated,hard_loss_mean,0.002448750561125229,0.002562744155591998,904,85,15
unrelated,hard_id_uniq,0.002355295702000666,0.0013204438141396124,904,85,16
unrelated,hard_pos_std_mean,0.0017713953754477838,0.0022158081178271804,904,85,17
unrelated,cos_ref_last,0.0015448878189611814,0.0008421076034283997,904,85,18
unrelated,loss_rank,0.0015288132311131674,0.0017631889138400275,904,85,19
unrelated,cos_global_mean,0.001513937910941716,0.004141788851952255,904,85,20
unrelated,grad_norm_last,0.001070318895177389,0.0007287964416447742,904,85,21
unrelated,entropy,0.0008882722623689375,0.00636714792242829,904,85,22
unrelated,grad_norm_slope,0.00046661414827787963,0.0022327074747400333,904,85,23
unrelated,hard_pos_peak,0.0004273683886243207,0.0021933421619098337,904,85,24
unrelated,cos_global_std,0.00020181804578780824,0.0014696218870313496,904,85,25
unrelated,loss_min,8.355264895122607e-05,0.0025663969182591864,904,85,26
unrelated,user_loss,-1.5887546100296096e-05,0.0012974468047981893,904,85,27
unrelated,n_hard,-4.6738432018035304e-05,0.0005360345951351187,904,85,28
unrelated,loss_last,-0.00020017867988137436,0.002494146978298331,904,85,29
unrelated,grad_norm_std,-0.00031695874519194206,0.0016889417661486114,904,85,30
unrelated,cos_ref_mean,-0.0006087658765436621,0.0019229132681729184,904,85,31
unrelated,hard_pos_jaccard,-0.0006487047909093443,0.005667877904789239,904,85,32
unrelated,cos_global_slope,-0.0006831644823124772,0.0019275614995250593,904,85,33
unrelated,cos_ref_slope,-0.0009228309758738307,0.0016723199366502565,904,85,34
unrelated,cos_ref_std,-0.0019550703717069883,0.0011479385798774076,904,85,35
unrelated,cos_global_last,-0.0022690914612141597,0.0021436272859164,904,85,36
